PO_post_type,PO_number_comments,PO_numbr_likes,Year,Month,PO_hashtag,PO_tag_accounts,PO_description_Emoji,PO_description_Language_Freq,PO_clean_text,PO_Hobby,PO_Skincare_Treatment,PO_Work_Event,PO_Fitness,PO_Lifestyle_Health,PO_Shop_Business_Advertisement,PO_Beauty_Makeup,PO_Travel_Celebrations,PO_Food,PO_Life_Happiness,PO_dominant_topic,PO_neg,PO_neu,PO_pos,PO_compound,PRO_n_posts,PRO_followers,PRO_following,PRO_is_business_account,PRO_hashtag,PRO_tag_accounts,PRO_description_Emoji,PRO_description_Language_Freq,PRO_clean_text,PRO_neg,PRO_neu,PRO_pos,PRO_compound,LOC_aj_exact_city_match,LOC_aj_exact_country_match,LOC_lat,LOC_lng,neu,LOC_cd_Freq,LOC_slug_Freq,points,points_C,y_likes_pred,y_comments_pred
8,16.0,831.9839999999999,2021,5,0.0,0.0,1.0,1124.0,16.0,0.01,0.01,0.01,0.57,0.01,0.34,0.01,0.01,0.01,0.01,3,0.099,0.55,0.234,0.1027,1133.0,189844.0,73.0,0,0.0,0.0,2.0,1132.0,4.0,0.0,0.417,0.583,0.6369,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.27396000000000004,363.0,13.0
2,16.0,831.9839999999999,2022,10,0.0,0.0,1.0,1124.0,11.0,0.0,0.0,0.0,0.34,0.0,0.62,0.0,0.0,0.0,0.0,9,0.0,0.41262,0.34832799999999997,0.875,1133.0,189844.0,73.0,0,0.0,0.0,2.0,1132.0,4.0,0.0,0.417,0.583,0.6369,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.35119,360.0,14.0
2,16.0,831.9839999999999,2020,6,0.0,0.0,1.0,1124.0,23.0,0.01,0.01,0.01,0.7,0.01,0.01,0.01,0.19,0.01,0.01,3,0.0,0.662,0.338,0.8266,1133.0,189844.0,73.0,0,0.0,0.0,2.0,1132.0,4.0,0.0,0.417,0.583,0.6369,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.34635,364.0,14.0
2,9.0,831.9839999999999,2022,9,1.0,0.0,1.0,1124.0,26.0,0.01,0.01,0.01,0.5,0.01,0.16,0.3,0.01,0.01,0.01,3,0.099,0.845,0.0,-0.5267,1133.0,189844.0,73.0,0,1.0,0.0,2.0,1132.0,4.0,0.0,0.417,0.583,0.6369,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.158265,337.0,11.0
8,16.0,831.9839999999999,2021,1,0.0,0.0,1.0,1124.0,14.0,0.01,0.01,0.92,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,0.0,0.553,0.34832799999999997,0.836,1133.0,189844.0,73.0,0,0.0,0.0,2.0,1132.0,4.0,0.0,0.417,0.583,0.6369,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.34729000000000004,367.0,13.0
8,16.0,831.9839999999999,2021,8,0.0,0.0,1.0,1124.0,23.0,0.01,0.01,0.34,0.01,0.01,0.55,0.01,0.01,0.01,0.01,9,0.095,0.727,0.178,0.3182,1133.0,189844.0,73.0,0,0.0,0.0,2.0,1132.0,4.0,0.0,0.417,0.583,0.6369,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.29551,371.0,8.0
2,16.0,831.9839999999999,2021,2,0.0,0.0,1.0,1124.0,16.0,0.01,0.01,0.64,0.01,0.01,0.01,0.01,0.01,0.01,0.28,1,0.099,0.5,0.242,-0.1027,1133.0,189844.0,73.0,0,0.0,0.0,2.0,1132.0,4.0,0.0,0.417,0.583,0.6369,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.25342000000000003,367.0,13.0
2,4.0,831.9839999999999,2023,2,2.0,0.0,1.0,1124.0,12.0,0.0,0.0,0.0,0.84,0.0,0.0,0.0,0.0,0.0,0.13,3,0.0,0.526,0.34832799999999997,0.7964,1133.0,189844.0,73.0,0,2.0,0.0,2.0,1132.0,4.0,0.0,0.417,0.583,0.6369,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0858325,304.0,4.0
8,16.0,831.9839999999999,2022,2,1.0,0.0,1.0,1124.0,24.0,0.01,0.01,0.57,0.37,0.01,0.01,0.01,0.01,0.01,0.01,1,0.0,0.895,0.105,0.4019,1133.0,189844.0,73.0,0,1.0,0.0,2.0,1132.0,4.0,0.0,0.417,0.583,0.6369,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.30388000000000004,362.0,8.0
8,16.0,831.9839999999999,2020,2,0.0,0.0,2.0,1124.0,26.0,0.01,0.01,0.01,0.91,0.01,0.01,0.01,0.01,0.01,0.01,3,0.099,0.539,0.224,-0.128,1133.0,189844.0,73.0,0,0.0,0.0,2.0,1132.0,4.0,0.0,0.417,0.583,0.6369,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.25089,359.0,13.0
